evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10
174 -0.7060396668 -0.090307 -0.253289 -0.523464 -0.106874 -0.180428 0.126639 0.040027 0.344999 0.296470 0.223267 -1.000000
175 -0.5602256593 -0.065901 -0.150170 -0.402304 -0.266559 -0.042344 0.379585 -0.402483 0.046262 0.334613 0.347123 -0.749921
176 -0.7014831526 -0.091286 -0.122900 -0.255741 0.239282 -0.045923 -0.195833 0.081003 0.212141 0.082391 -0.036660 -1.000000
177 -0.6635503098 -0.117787 -0.154251 -0.252771 0.058759 -0.177167 0.161870 -0.297845 0.524242 0.071768 0.117576 -0.921203
178 -0.7484960714 -0.181950 -0.227597 -0.139792 -0.239177 0.026618 0.151805 0.057939 -0.296831 0.132103 0.072487 -1.000000
179 -0.6884747145 -0.273275 -0.198590 -0.220569 -0.049369 -0.143561 0.280308 -0.240575 0.164207 -0.005830 0.051981 -0.959272
180 -0.7559488904 -0.026462 -0.183258 -0.171994 -0.131049 -0.006988 0.033367 0.000670 0.063204 0.209701 0.138083 -0.979428
181 -0.7182921414 0.012455 -0.402303 -0.224961 -0.114406 0.091081 0.353839 -0.107269 0.232210 0.055552 0.185714 -1.000000
182 -0.6266395748 -0.312192 0.020454 -0.167602 -0.066012 -0.241631 -0.040163 -0.132636 -0.004799 0.148319 0.004349 -0.799214
183 -0.5796408493 -0.402872 -0.198893 -0.177815 -0.214587 0.147746 0.063260 -0.197439 0.155991 0.152628 0.002747 -0.735555
184 -0.7152450676 0.103135 -0.182956 -0.214748 0.034169 -0.298295 0.250415 -0.042466 0.071420 0.051243 0.187316 -1.000000
185 -0.6545671985 -0.146182 -0.126169 -0.151454 -0.231742 0.050040 0.151109 -0.000705 0.292715 0.541630 0.174071 -0.862500
186 -0.7182106878 -0.153555 -0.255679 -0.241109 0.051324 -0.200590 0.162567 -0.239200 -0.065304 -0.337759 0.015992 -1.000000
187 -0.6402711592 -0.448998 0.093383 -0.195109 -0.127791 -0.167738 0.372225 -0.110273 0.342019 0.264972 0.296672 -0.875034
188 -0.5938579989 0.273587 -0.266179 -0.162970 -0.045020 0.217038 -0.140279 0.079319 -0.125231 0.182211 0.252921 -0.830684
189 -0.7227701637 -0.000762 -0.000730 -0.302912 0.012404 -0.119508 0.270627 0.199465 -0.090020 -0.043411 -0.027712 -1.000000
190 -0.5954514098 -0.134510 -0.475992 -0.058891 -0.276029 0.092724 0.009091 -0.254234 0.058684 0.250426 0.265724 -0.809561
191 -0.6971172140 -0.083753 -0.002385 -0.073401 -0.210561 -0.064408 0.310635 -0.132409 0.060876 0.313087 0.051469 -0.919340
192 -0.7441298887 -0.051519 -0.474337 -0.288402 -0.053064 0.037623 -0.030916 0.077639 -0.092212 -0.106072 0.186542 -1.000000
